fold_0:
   train      val  monitor       lr
0.274167 0.809346 0.899637 0.000422
0.228049 0.738378 0.859289 0.000422
0.239067 0.740209 0.860354 0.000422
0.246850 0.867361 0.931322 0.000422
0.247992 0.787930 0.887654 0.000422
0.200237 0.771050 0.878095 0.000422
0.216945 0.772546 0.878946 0.000422
0.204623 0.755415 0.869146 0.000422
0.194087 0.736646 0.858281 0.000422
0.215725 0.810152 0.900085 0.000422
0.207128 0.755439 0.869160 0.000422
0.172480 0.821792 0.906528 0.000422
0.201783 0.769466 0.877192 0.000422
0.179190 0.773296 0.879372 0.000422
0.180168 0.795199 0.891740 0.000422
0.170687 0.815891 0.903267 0.000316
0.175446 0.758076 0.870676 0.000316
0.177260 0.778258 0.882189 0.000316
0.159958 0.773708 0.879607 0.000316
0.169321 0.773953 0.879746 0.000316
0.154454 0.795500 0.891908 0.000316
0.162071 0.789006 0.888260 0.000316
0.160078 0.797326 0.892931 0.000237
0.154585 0.756382 0.869702 0.000237

