MW,LogP,validity,uniqueness,novelty,acceptance_rate,total_generated,accepted,invalid_or_empty,in_training,duplicate,rejected_by_filter
266.66666666666663,3.7777777777777786,0.8667582417582418,0.9992273351648352,0.9995707417582418,0.8655563186813187,11648,10082,1552,5,9,0
266.66666666666663,4.888888888888889,0.8527385752688172,0.9968077956989247,0.9993279569892473,0.8488743279569892,11904,10105,1753,8,38,0
266.66666666666663,6.0,0.8136275773195877,0.9938788659793815,0.9999194587628866,0.8074259020618557,12416,10025,2314,1,76,0
305.55555555555554,-4.0,0.6594012605042017,1.0,1.0,0.6589417016806722,15232,10037,5188,0,0,7
305.55555555555554,-2.888888888888889,0.7321115654205608,1.0,1.0,0.7320385514018691,13696,10026,3669,0,0,1
305.55555555555554,-1.7777777777777777,0.7660800970873787,1.0,1.0,0.7659283980582524,13184,10098,3084,0,0,2
305.55555555555554,-0.6666666666666665,0.7919034090909091,1.0,1.0,0.7918244949494949,12672,10034,2637,0,0,1
305.55555555555554,0.44444444444444464,0.8259868421052632,1.0,0.9998355263157894,0.8258223684210526,12160,10042,2116,2,0,0
305.55555555555554,1.5555555555555554,0.8347739361702128,1.0,0.9998337765957447,0.8346077127659575,12032,10042,1988,2,0,0
305.55555555555554,2.666666666666667,0.861092032967033,1.0,0.999742445054945,0.8607486263736264,11648,10026,1618,3,0,1
305.55555555555554,3.7777777777777786,0.8647836538461539,0.9999141483516484,0.9998282967032966,0.8644402472527473,11648,10069,1575,2,1,1
305.55555555555554,4.888888888888889,0.8551290760869565,0.9994904891304348,0.9999150815217391,0.8545346467391305,11776,10063,1706,1,6,0
305.55555555555554,6.0,0.8225911458333334,0.9991048177083334,0.9999186197916666,0.8214518229166666,12288,10094,2180,1,11,2
344.44444444444446,-4.0,0.61187744140625,1.0,1.0,0.6116943359375,16384,10022,6359,0,0,3
344.44444444444446,-2.888888888888889,0.6773976293103449,1.0,1.0,0.6772629310344828,14848,10056,4790,0,0,2
344.44444444444446,-1.7777777777777777,0.7253327546296297,1.0,1.0,0.7251157407407407,13824,10024,3797,0,0,3
344.44444444444446,-0.6666666666666665,0.7628185679611651,0.9999241504854369,1.0,0.7626668689320388,13184,10055,3127,0,1,1
344.44444444444446,0.44444444444444464,0.7904829545454546,1.0,1.0,0.7904829545454546,12672,10017,2655,0,0,0
344.44444444444446,1.5555555555555554,0.8159993489583334,1.0,0.9998372395833334,0.8157552083333334,12288,10024,2261,2,0,1
344.44444444444446,2.666666666666667,0.8348570478723404,0.9999168882978723,0.9999168882978723,0.8346077127659575,12032,10042,1987,1,1,1
344.44444444444446,3.7777777777777786,0.8519021739130435,0.9999150815217391,0.9996603260869565,0.8514775815217391,11776,10027,1744,4,1,0
344.44444444444446,4.888888888888889,0.8464381720430108,0.9999159946236559,1.0,0.8461861559139785,11904,10073,1828,0,1,2
344.44444444444446,6.0,0.8206380208333334,0.9999186197916666,0.9999186197916666,0.8204752604166666,12288,10082,2204,1,1,0
383.3333333333333,-4.0,0.5559618794326241,1.0,1.0,0.5556294326241135,18048,10028,8014,0,0,6
383.3333333333333,-2.888888888888889,0.6188484251968503,1.0,1.0,0.6186638779527559,16256,10057,6196,0,0,3
383.3333333333333,-1.7777777777777777,0.6669094279661016,0.9999337923728814,1.0,0.6665783898305084,15104,10068,5031,0,1,4
383.3333333333333,-0.6666666666666665,0.7201118119266054,1.0,1.0,0.7201118119266054,13952,10047,3905,0,0,0
383.3333333333333,0.44444444444444464,0.7482142857142857,1.0,1.0,0.7482142857142857,13440,10056,3384,0,0,0
383.3333333333333,1.5555555555555554,0.7765315594059405,1.0,1.0,0.7765315594059405,12928,10039,2889,0,0,0
383.3333333333333,2.666666666666667,0.8044483418367347,1.0,1.0,0.8043686224489796,12544,10090,2453,0,0,1
383.3333333333333,3.7777777777777786,0.8155110677083334,1.0,1.0,0.8155110677083334,12288,10021,2267,0,0,0
383.3333333333333,4.888888888888889,0.8165690104166666,1.0,1.0,0.81640625,12288,10032,2254,0,0,2
383.3333333333333,6.0,0.7946654040404041,1.0,1.0,0.79458648989899,12672,10069,2602,0,0,1
422.2222222222222,-4.0,0.48288001543209874,1.0,1.0,0.4825424382716049,20736,10006,10723,0,0,7
422.2222222222222,-2.888888888888889,0.5619977678571428,1.0,1.0,0.5616629464285714,17920,10065,7849,0,0,6
422.2222222222222,-1.7777777777777777,0.604326923076923,1.0,1.0,0.6042668269230769,16640,10055,6584,0,0,1
422.2222222222222,-0.6666666666666665,0.6526692708333334,1.0,1.0,0.6526041666666667,15360,10024,5335,0,0,1
422.2222222222222,0.44444444444444464,0.6905838815789473,1.0,1.0,0.6903782894736842,14592,10074,4515,0,0,3
422.2222222222222,1.5555555555555554,0.7285879629629629,1.0,1.0,0.728515625,13824,10071,3752,0,0,1
422.2222222222222,2.666666666666667,0.7587985436893204,1.0,1.0,0.7587985436893204,13184,10004,3180,0,0,0
422.2222222222222,3.7777777777777786,0.7681525735294118,1.0,1.0,0.7680759803921569,13056,10028,3027,0,0,1
422.2222222222222,4.888888888888889,0.7741336633663366,1.0,1.0,0.7739789603960396,12928,10006,2920,0,0,2
422.2222222222222,6.0,0.7699142156862745,1.0,1.0,0.7698376225490197,13056,10051,3004,0,0,1
461.1111111111111,-4.0,0.414145171957672,1.0,1.0,0.41369047619047616,24192,10008,14173,0,0,11
